true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-29,6,2,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,26,True,89.3393639748758,2022-06-29,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-29,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,26,True,89.3393639748758,2022-06-29,best_constant_price,1.0,0.0,80.0
1404812.4800074333,-17.018751999257347,1.3500000000000012,-3500.0000000000127,33.0,10000,2022-12-24,12,5,80.0,15000.0,100,195.43755580295394,1.0,False,True,27,False,195.43755580295394,2022-12-24,always_min_price_80,0.0,1.0,
1602947.56284801,2.794756284801082,1.3499999999999996,-3499.9999999999964,27.0,10000,2022-12-24,12,5,91.99999988079071,15000.0,100,195.43755580295394,0.0,False,True,27,False,195.43755580295394,2022-12-24,myopic_grid_max_sl,0.0,1.0,
1693166.9351384754,120.1267071850138,1.109311080730742,-1093.110807307421,7.0,10000,2022-12-24,12,5,120.0,15000.0,100,195.43755580295394,0.0,False,True,27,False,195.43755580295394,2022-12-24,best_constant_price,0.0,1.0,120.0
1210016.6883307456,74.05993327382203,1.1043149679094502,-1043.149679094502,7.0,10000,2022-12-14,12,2,80.0,15000.0,100,127.57061847614774,1.0,False,True,28,False,127.57061847614774,2022-12-14,always_min_price_80,0.0,1.0,
1229923.41450524,185.52485812649155,0.9760719406520104,239.2805934798962,,10000,2022-12-14,12,2,91.99999988079071,15000.0,100,127.57061847614774,0.0,False,True,28,False,127.57061847614774,2022-12-14,myopic_grid_max_sl,0.0,0.0,
1229533.0865296293,201.08872620358153,0.9974457774666009,25.542225333991155,,10000,2022-12-14,12,2,90.0,15000.0,100,127.57061847614774,0.0,False,True,28,False,127.57061847614774,2022-12-14,best_constant_price,0.0,0.0,90.0
1211076.0175433392,73.74746784478793,1.1052447420212135,-1052.4474202121346,7.0,10000,2022-12-08,12,3,80.0,15000.0,100,127.68291019733265,1.0,False,True,29,False,127.68291019733265,2022-12-08,always_min_price_80,0.0,1.0,
1231000.1713919858,186.23244806702934,0.9768937409970284,231.06259002971638,,10000,2022-12-08,12,3,91.99999988079071,15000.0,100,127.68291019733265,0.0,False,True,29,False,127.68291019733265,2022-12-08,myopic_grid_max_sl,0.0,0.0,
1230609.5016972646,201.80941877984287,0.9982855734385155,17.1442656148447,,10000,2022-12-08,12,3,90.0,15000.0,100,127.68291019733265,0.0,False,True,29,False,127.68291019733265,2022-12-08,best_constant_price,0.0,0.0,90.0
