policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,round
dagger round 4,9,2023855.176799635,2720536.3916170597,3483.4060740871237,0.0,0,9561.0,80.26501110889039,7663.0,88.43378890576537,7534.0,80.00160142538051,2086.0,80.00057412816831,1577.0,80.0000109336916,361.0,80.00000104679626,4
dagger round 4,10,1543030.5665435803,2604507.044197321,5307.382388268704,0.0,0,8047.0,80.01358154265351,8363.0,89.7890754282282,6933.0,80.00138677062367,1998.0,80.00909616042664,1664.0,80.00172826533134,288.0,80.0000015190906,4
dagger round 4,11,2894434.4341794234,3354568.5985422134,1814.0719885875133,243.29941661321755,2,9960.0,92.60745442236762,7569.0,115.8314575125573,7488.0,80.00153865505997,2504.0,88.33550928499751,2305.0,80.34412460006499,596.0,80.33997999341696,4
dagger round 4,12,3111658.54442313,3416645.7257962227,248.36584388954907,638.2850314879579,2,9608.0,91.494161658963,7056.0,115.15506055569297,8867.0,80.02536215077154,2634.0,86.7255823858416,2551.0,80.34149748117304,617.0,80.32314367773468,4
dagger round 4,13,3190788.523975549,3348933.216776848,727.8554541749763,31.434004915759942,1,9506.0,80.0884759306983,8363.0,116.10066056622139,10097.0,81.62899976026024,1856.0,84.75765393083465,2315.0,83.86880747803345,373.0,80.00119720323475,4
dagger round 4,14,1919815.1529873612,2883439.633156061,4818.1224008435,0.0,0,9751.0,87.15011075281166,8066.0,104.55780556412982,6382.0,80.00122272774031,2514.0,80.1168938586896,1348.0,80.00003550986509,255.0,80.00000264130387,4
dagger round 4,15,1299908.2144515049,2554790.032647848,6201.454461583659,36.477314699028284,1,7297.0,80.00553453672711,8695.0,93.66834501592231,5974.0,80.00129635672447,2142.0,80.04125148364031,1639.0,80.01187340816105,306.0,80.00000043242585,4
dagger round 4,16,2987073.628946858,3243573.153208494,804.158051178425,239.16978506487794,2,9389.0,84.90089461856509,6992.0,113.142443631586,8253.0,80.00304823281128,2572.0,85.0242001861102,2585.0,80.0630119395671,599.0,80.01740301192703,4
dagger round 4,17,3074431.6930292663,3414104.8345541954,1698.3657076246454,0.0,0,10049.0,94.69517580975773,7742.0,114.81573238680141,8535.0,80.00265083259913,2532.0,85.46135632065236,2106.0,80.3449503478841,496.0,80.3748310309264,4
dagger round 4,18,2066361.511144133,2874351.7365586758,3906.6098241172485,66.67065147773246,1,8706.0,80.07888481941767,7942.0,108.89736671421937,6443.0,80.00126773686064,2515.0,80.48885006696045,1888.0,80.04634209229785,374.0,80.00000648001298,4
